# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CD14	CD14	NM_000591.3	protein_coding	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CD151	CD151	NM_001039490.1	protein_coding	0	0	0	7	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1
CD163	CD163	NM_004244.5	protein_coding	0	1	1	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0
CD1D	CD1D	NM_001766.3	protein_coding	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CD2	CD2	NM_001328609.1	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
CD200	CD200	NM_001004196.3	protein_coding	0	0	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
CD200R1	CD200R1	NM_138806.3	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
CD200R1L	CD200R1L	NM_001008784.2	protein_coding	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CD207	CD207	NM_015717.4	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CD209	CD209	NM_021155.3	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CD22	CD22	NM_001771.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD226	CD226	NM_001303618.1	protein_coding	0	0	0	6	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
CD244	CD244	NM_001166663.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CD247	CD247	NM_198053.2	protein_coding	0	0	0	11	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0
CD27	CD27	NM_001242.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CD27-AS1	CD27-AS1	NR_015382.2		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD274	CD274	NM_014143.3	protein_coding	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
CD276	CD276	NM_001024736.1	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CD28	CD28	NM_006139.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2AP	CD2AP	NM_012120.2	protein_coding	0	0	0	6	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
CD300A	CD300A	NM_007261.3	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2
CD300E	CD300E	NM_181449.2	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD300LF	CD300LF	NM_001289084.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD300LG	CD300LG	NM_145273.3	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CD320	CD320	NM_016579.3	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CD33	CD33	NM_001772.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CD34	CD34	NM_001025109.1	protein_coding	0	0	0	6	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CD36	CD36	NM_000072.3	protein_coding	0	1	0	7	0	0	0	1	7	0	0	0	0	0	0	1	0	0	0	0	0	0
CD37	CD37	NM_001774.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD38	CD38	NM_001775.3	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD3D	CD3D	NM_000732.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CD3E	CD3E	NM_000733.3	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD3G	CD3G	NM_000073.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CD4	CD4	NM_000616.4	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
CD40	CD40	NM_001322421.1	protein_coding	0	0	0	7	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2
CD44	CD44	NM_000610.3	protein_coding	0	0	0	16	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0
CD46	CD46	NM_172359.2	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CD47	CD47	NM_001777.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CD48	CD48	NM_001256030.1	protein_coding	0	0	1	8	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	2
CD5	CD5	NM_014207.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD53	CD53	NM_000560.3	protein_coding	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CD55	CD55	NM_001300902.1	protein_coding	0	0	0	6	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
CD59	CD59	NM_000611.5	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD5L	CD5L	NM_005894.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD6	CD6	NM_006725.4	protein_coding	0	1	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0
CD69	CD69	NM_001781.2	protein_coding	0	0	0	5	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
CD70	CD70	NM_001252.4	protein_coding	0	0	0	7	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2
CD74	CD74	NM_001025159.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD79B	CD79B	NM_001039933.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CD80	CD80	NM_005191.3	protein_coding	0	0	0	5	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
CD81	CD81	NM_004356.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD81-AS1	CD81-AS1	NR_108080.1		0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
CD82	CD82	NM_002231.3	protein_coding	0	0	1	6	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1
CD83	CD83	NM_004233.3	protein_coding	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CD84	CD84	NM_001184879.1	protein_coding	0	0	0	4	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CD86	CD86	NM_175862.4	protein_coding	0	0	1	4	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0
CD8A	CD8A	NM_001145873.1	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8B	CD8B	NM_172213.3	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
CD9	CD9	NM_001769.3	protein_coding	0	0	0	7	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0
CD96	CD96	NM_198196.2	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2
CD99	CD99	NM_002414.4	protein_coding	0	0	0	9	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0
CD99L2	CD99L2	NM_001242614.1	protein_coding	0	0	0	5	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CD99P1	CD99P1	NR_033380.1		0	0	0	10	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0
CDA	CDA	NM_001785.2	protein_coding	0	0	1	10	0	0	1	0	8	1	0	0	0	0	0	0	0	0	0	0	0	1
CDADC1	CDADC1	NM_030911.3	protein_coding	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CDAN1	CDAN1	NM_138477.2	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CDC123	CDC123	NM_006023.2	protein_coding	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1
CDC14B	CDC14B	NM_033331.2	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC23	CDC23	NM_004661.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDC25A	CDC25A	NM_001789.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC25B	CDC25B	NM_021873.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC25C	CDC25C	NM_001287583.1	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CDC27	CDC27	NM_001114091.2	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC34	CDC34	NM_004359.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC37L1	CDC37L1	NM_017913.3	protein_coding	0	0	0	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1
CDC37L1-AS1	CDC37L1-AS1	NR_121597.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42BPA	CDC42BPA	NM_003607.3	protein_coding	0	0	0	8	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42BPB	CDC42BPB	NM_006035.3	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42BPG	CDC42BPG	NM_017525.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDC42EP1	CDC42EP1	NM_152243.2	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42EP3	CDC42EP3	NM_001270436.1	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
CDC42EP4	CDC42EP4	NM_012121.4	protein_coding	0	0	0	4	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42P3	CDC42P3	NR_102426.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDC42SE1	CDC42SE1	NM_001038707.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC45	CDC45	NM_001178010.2	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC5L	CDC5L	NM_001253.3	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDC7	CDC7	NM_001134419.1	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
CDC73	CDC73	NM_024529.4	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA3	CDCA3	NM_031299.5	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA4	CDCA4	NM_017955.3	protein_coding	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CDCA7	CDCA7	NM_031942.4	protein_coding	0	0	0	5	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA7L	CDCA7L	NM_018719.4	protein_coding	0	0	0	8	1	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA8	CDCA8	NM_001256875.1	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CDCP1	CDCP1	NM_022842.4	protein_coding	0	0	1	13	1	0	0	1	11	1	0	0	0	0	0	0	0	0	0	0	0	0
CDCP2	CDCP2	NM_201546.3	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH1	CDH1	NM_004360.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH10	CDH10	NM_006727.4	protein_coding	0	0	0	14	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH11	CDH11	NM_001797.3	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3
CDH12	CDH12	NM_001317227.1	protein_coding	0	1	0	14	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0
CDH13	CDH13	NM_001220488.1	protein_coding	0	1	0	192	1	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	1	0
CDH15	CDH15	NM_004933.2	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDH17	CDH17	NM_001144663.1	protein_coding	0	0	1	10	1	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	1
CDH18	CDH18	NM_001291956.1	protein_coding	0	0	0	42	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH19	CDH19	NM_021153.3	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
CDH2	CDH2	NM_001792.4	protein_coding	0	0	0	11	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH20	CDH20	NM_031891.3	protein_coding	0	1	0	21	0	0	1	0	20	0	0	0	0	0	0	0	0	0	0	0	1	0
CDH22	CDH22	NM_021248.2	protein_coding	0	0	0	13	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1
CDH23	CDH23	NM_022124.5	protein_coding	0	1	3	48	0	0	0	0	48	3	0	0	0	0	0	0	0	0	0	0	1	0
CDH23	CDH23.2	NM_001171933.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH24	CDH24	NM_022478.3	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH26	CDH26	NM_177980.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH3	CDH3	NM_001793.5	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
CDH4	CDH4	NM_001794.4	protein_coding	0	0	0	71	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH5	CDH5	NM_001795.4	protein_coding	0	0	1	8	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	1
CDH6	CDH6	NM_004932.3	protein_coding	0	0	0	6	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1
CDH7	CDH7	NM_004361.3	protein_coding	0	0	1	6	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0
CDH8	CDH8	NM_001796.4	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH9	CDH9	NM_016279.3	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
CDHR1	CDHR1	NM_033100.3	protein_coding	0	0	1	5	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	2
CDHR2	CDHR2	NM_001171976.1	protein_coding	0	2	0	5	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	1	1
CDHR3	CDHR3	NM_152750.4	protein_coding	0	0	1	12	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0
CDHR4	CDHR4	NM_001007540.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDHR5	CDHR5	NM_021924.4	protein_coding	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CDIPT	CDIPT	NM_006319.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDIPT-AS1	CDIPT-AS1	NR_015396.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDK1	CDK1	NM_001320918.1	protein_coding	0	0	0	4	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CDK10	CDK10	NM_052988.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11B	CDK11B	NM_001787.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK13	CDK13	NM_003718.4	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK14	CDK14	NM_001287135.1	protein_coding	0	0	0	30	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK15	CDK15	NM_001261435.1	protein_coding	0	0	0	4	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK16	CDK16	NM_001170460.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDK17	CDK17	NM_001170464.2	protein_coding	0	0	0	5	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK18	CDK18	NM_212503.2	protein_coding	0	0	0	5	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
CDK19	CDK19	NM_015076.4	protein_coding	0	0	0	5	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1
CDK20	CDK20	NM_001039803.2	protein_coding	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CDK2AP2	CDK2AP2	NM_005851.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDK3	CDK3	NM_001258.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK4	CDK4	NM_000075.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK5	CDK5	NM_004935.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK5R1	CDK5R1	NM_003885.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK5R2	CDK5R2	NM_003936.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK5RAP1	CDK5RAP1	NM_016082.4	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK5RAP2	CDK5RAP2	NM_018249.5	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
CDK5RAP3	CDK5RAP3	NM_001278197.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDK6	CDK6	NM_001145306.1	protein_coding	0	0	0	33	6	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK7	CDK7	NM_001799.3	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CDK8	CDK8	NM_001260.2	protein_coding	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CDK9	CDK9	NM_001261.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKAL1	CDKAL1	NM_017774.3	protein_coding	0	0	0	42	1	0	0	3	38	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKL1	CDKL1	NM_004196.4	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKL2	CDKL2	NM_003948.3	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKL4	CDKL4	NM_001009565.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKL5	CDKL5	NM_001037343.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN1A	CDKN1A	NM_001291549.1	protein_coding	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN1B	CDKN1B	NM_004064.4	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN1C	CDKN1C	NM_000076.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN2AIP	CDKN2AIP	NM_017632.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN2B	CDKN2B	NM_004936.3	protein_coding	0	0	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN2B-AS1	CDKN2B-AS1	NR_003529.3		0	0	0	42	0	0	0	4	37	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN3	CDKN3	NM_005192.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CDNF	CDNF	NM_001029954.2	protein_coding	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CDO1	CDO1	NM_001323565.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDON	CDON	NM_001243597.1	protein_coding	0	2	0	12	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	2	0
CDR1	CDR1	NM_004065.2	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDR2	CDR2	NM_001802.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDR2L	CDR2L	NM_014603.2	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CDRT4	CDRT4	NM_001204477.1	protein_coding	0	0	0	5	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2
CDRT7	CDRT7	NR_033371.1		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDRT8	CDRT8	NR_103559.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDS1	CDS1	NM_001263.3	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDS2	CDS2	NM_003818.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDSN	CDSN	NM_001264.4	protein_coding	0	2	1	26	3	0	0	10	9	1	0	0	0	0	0	0	0	0	0	0	2	4
CDX1	CDX1	NM_001804.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CDX2	CDX2	NM_001265.4	protein_coding	0	0	1	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CDX4	CDX4	NM_005193.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDYL	CDYL	NM_004824.3	protein_coding	0	0	0	8	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0
CDYL2	CDYL2	NM_152342.3	protein_coding	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM1	CEACAM1	NM_001712.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM16	CEACAM16	NM_001039213.3	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CEACAM18	CEACAM18	NM_001278392.1	protein_coding	0	0	2	6	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	2
CEACAM19	CEACAM19	NM_020219.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM20	CEACAM20	NM_001102597.2	protein_coding	0	0	2	9	0	0	0	1	7	2	0	0	0	0	0	0	0	0	0	0	0	1
CEACAM21	CEACAM21	NM_001098506.3	protein_coding	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
CEACAM22P	CEACAM22P	NR_027754.2		0	0	0	11	0	0	0	3	5	0	2	0	0	0	0	0	0	0	0	0	0	1
CEACAM3	CEACAM3	NM_001815.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM4	CEACAM4	NM_001817.3	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM5	CEACAM5	NM_001291484.2	protein_coding	0	0	2	4	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1
CEACAM6	CEACAM6	NM_002483.6	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM7	CEACAM7	NM_001291485.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CEBPE	CEBPE	NM_001805.3	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CEBPG	CEBPG	NM_001252296.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPZ	CEBPZ	NM_005760.2	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
CECR1	CECR1	NM_001282225.1	protein_coding	0	1	0	9	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	1
CECR2	CECR2	NM_001290047.1	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
CECR3	CECR3	NR_038398.2		0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CECR5	CECR5	NM_033070.2	protein_coding	0	0	1	4	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1
